ID,Nome,SKU,Tipo,Status,Preço,"Preço Regular","Preço Promoção",Estoque,Categorias,Tags,"Imagem Principal"
7300,"CALÇA ADIDAS GOLF MEN'S GO-TO 5 POCKET PANTS W28/L32 CLEAR BROWN BEIGE",116,simple,publish,520,520,,1,Array,,
7301,"Calça Puma Jackpot Golf pants Technical Performance Fabric - Pick Size 28/32 color gray",115,simple,publish,520,520,,1,Array,,
7297,"CAMISA CLUB ROOM TM S ROSA",119,simple,publish,320,320,,1,Array,,
7298,"TÊNIS NEW Men's FootJoy Traditions Golf Shoes White  Size 7",118,simple,publish,1550,1550,,1,Array,,
7299,"TÊNIS NEW Men's FootJoy Traditions Golf Shoes Black  Size 7",117,simple,publish,1550,1550,,1,Array,,
7017,"TÊNIS FJ CINZA E ROXO N° 6 1/2",96,simple,publish,990.9,990.9,,1,,,
7014,"TÊNIS FJ CINZA E ROXO N°6",99,simple,publish,980,980,,1,Array,,
7015,"TÊNIS FJ ROSA CLARO N° 5",98,simple,publish,1250,1250,,1,Array,,
7016,"TÊNIS SKECHERS LARANJA  N°7",97,simple,publish,950,950,,1,Array,,
7012,"CALÇA WALTER HAGEN TM 34-32 VERMELHA",101,simple,publish,460,460,,1,Array,,
7013,"TÊNIS ADIDAS BRANCO E CINZA N°7",100,simple,publish,1300,1300,,1,Array,,
7010,"CALÇA GREG NORMAN VERDE TM 36-32",103,simple,publish,520,520,,1,Array,,
7011,"CALÇA GREG NORMAN VERDE TM 38-32",102,simple,publish,480,480,,1,Array,,
6734,"VARETA DE TREINO",73,simple,publish,260,260,,1,Array,,
6735,"ESCOVA LIMPA TACOS",72,simple,publish,80,80,,1,Array,,
6736,"MANGUITO PRETO NIKE G",71,simple,publish,50,50,,1,,,
6731,"POCKET - CARTEIRA VERDE",76,simple,publish,120,120,,1,Array,,
6732,"POCKET - CARTEIRA SCORE",75,simple,publish,160,160,,1,Array,,
6733,"SUPORTE PARA APRENDER TACAR",74,simple,publish,150,150,,1,Array,,
6729,"MARCADOR DE BOLA",78,simple,publish,120,120,,1,Array,,
6730,"MARCADOR DE BOLA + TEE",77,simple,publish,120,120,,1,Array,,
6727,"PILHA FG",80,simple,publish,59.9,59.9,,1,Array,,
6728,"PILHA GP",79,simple,publish,59.9,59.9,,1,Array,,
6723,"CORTA VENTO PRETA TM G",84,simple,publish,160,160,,1,Array,,
6724,"CORTA VENTO FJ  FEMININA",83,simple,publish,720,720,,1,Array,,
6725,"TEE LISTRADO",82,simple,publish,20,20,,1,Array,,
6720,"CINTO ARMOUR AZUL MARINHO",87,simple,publish,320,320,,1,Array,,
6721,"TEE BRANCO PEQUENO",86,simple,publish,15,15,,1,Array,,
6722,"TEE MADEIRA PEQUENO",85,simple,publish,10,10,,1,Array,,
6717,"CINTO PUMA VERDE",90,simple,publish,360,360,,1,Array,,
6718,"CINTO TFLOW BEGE",89,simple,publish,320,320,,1,Array,,
6719,"CINTO UNDER ARMOUR BRANCO",88,simple,publish,320,320,,1,Array,,
6714,"CINTO ADIDAS MARROM",93,simple,publish,240,240,,1,Array,,
6715,"CINTO ADIDAS ROXO",92,simple,publish,320,320,,1,Array,,
6716,"CINTO PUMA AZUL E VERDE",91,simple,publish,340,340,,1,Array,,
6712,"CINTO PUMA AZUL CLARO",95,simple,publish,340,340,,1,Array,,
6713,"CINTO PRIME GOLF",94,simple,publish,190,190,,1,Array,,
6470,"CAMISETA WALTER HAGEN BRANCA E VERDE  TM XL",315,simple,publish,360,360,,1,Array,,
6134,"TEE MADEIRA  GRANDE C/ 10 UN",22,simple,publish,15,15,,1,Array,,
6135,"TEE BRANCO GRANDE C/ 10 UN",21,simple,publish,15,15,,1,Array,,
6136,"TEE COLORIDO C/10 UN",20,simple,publish,15,15,,1,,,
6130,"GRIP CINZA C/ VERMELHO",26,simple,publish,80,80,,1,Array,,
6131,"GRIP PRETO",25,simple,publish,80,80,,1,Array,,
6132,"TEE LISTRADO C/ 10 UN",24,simple,publish,20,20,,1,Array,,
6133,"TEE LARANJA C/ 10 UN",23,simple,publish,15,15,,1,Array,,
6127,"PROTETOR SOLAR OAZ AEROSSOL FPS 50",29,simple,publish,75,75,,1,Array,,
6128,"GRIP CINZA",28,simple,publish,80,80,,1,Array,,
6129,"GRIP CINZA C/ AZUL",27,simple,publish,80,80,,1,,,
6124,"REPELENTE KIDS SPRAY",32,simple,publish,35.9,35.9,,1,Array,,
6125,"PROTETOR SOLAR NIVEA FPS 30",31,simple,publish,55,55,,1,Array,,
6126,"PROTETOR SOLAR AEROSSOL CENOURA E BRONZE FPS 50",30,simple,publish,75,75,,1,Array,,
6120,"vara de alinhamento rigida amarela",0000337,simple,publish,290,290,,1,Array,,
6121,"MARCADOR E REPARADOR DE GREEN COSTÃO",35,simple,publish,70,70,,1,Array,,
6122,"BONÉ COSTÃO PRETO",34,simple,publish,140,140,,1,Array,,
6123,"REPELENTE MYHEALTH AEROSSOL",33,simple,publish,49.9,49.9,,1,Array,,
6118,"TACO FERRO 2",36,simple,publish,400,400,,1,Array,,
6119,"vara de alinhamento rigida laranja",0000338,simple,publish,290,290,,1,Array,,
6114,"LUVA GOG AZUL TM 20",40,simple,publish,200,200,,1,Array,,
6115,"LUVA GOG GOLF ROSA TM 18",39,simple,publish,200,200,,1,Array,,
6116,"LUVA GOG GOLF ROSA TM 19",38,simple,publish,200,200,,1,,,
6117,"LUVA GOG GOLF ROSA TM 20",37,simple,publish,200,200,,1,Array,,
6111,"LUVA TITLEIST TM ML",43,simple,publish,130,130,,1,Array,,
6112,"LUVA GOG GOLF AZUL TM 19",42,simple,publish,200,200,,1,Array,,
6113,"LUVA GOG GOLF AZUL TM 18",41,simple,publish,200,200,,1,Array,,
6107,"LUVA FJ WEATHERSOF TM X-LG",47,simple,publish,180,180,,1,Array,,
6108,"LUVA FJ WEATHERSOF TM SMAL",46,simple,publish,180,180,,1,Array,,
6109,"LUVA FJ CONTOUR TM SMAL",45,simple,publish,220,220,,1,Array,,
6110,"LUVA FJ CONTOUR TM MEDIUM",44,simple,publish,220,220,,1,Array,,
6104,"LUVA TAYLORMADE TM XL",50,simple,publish,180,180,,1,Array,,
6105,"LUVA AVANT TM XL",49,simple,publish,180,180,,1,Array,,
6106,"LUVA AVANT TM S",48,simple,publish,180,180,,1,Array,,
6101,"LUVA FJ JUNIOR TM L",53,simple,publish,140,140,,1,Array,,
6102,"LUVA FJ JUNIOR TM SMALL",52,simple,publish,140,140,,1,Array,,
6103,"LUVA FJ JUNIOR TM MEDIUM",51,simple,publish,140,140,,1,Array,,
6098,"trio de bola callaway warbird distance+",000340,simple,publish,0,0,,1,Array,,
6099,"trio bola taylor made distance+",0000339,simple,publish,0,0,,1,Array,,
6100,"LUVA FJ JUNIOR TM MEDIUM-LARGER",54,simple,publish,140,140,,1,Array,,
6095,"luva kirkland s (mao direita)",0000341,simple,publish,130,130,,1,Array,,
6096,"TOALHA GOLF ROSA",56,simple,publish,120,120,,1,Array,,
6097,"TOALHA GOLF VERDE",55,simple,publish,120,120,,1,,,
6092,"TOALHA HANDY PICKS VERMELHA",59,simple,publish,80,80,,1,Array,,
6093,"TOALHA SLICKNIK AZUL MARINHO",58,simple,publish,80,80,,1,Array,,
6094,"TOALHA COSTÃO GOLF ROSA",57,simple,publish,70,70,,1,Array,,
6089,"PAR DE MEIAS IZOD",61,simple,publish,49.9,49.9,,1,Array,,
6090,"oculos sol skechers",0000342,simple,publish,720,720,,1,Array,,
6091,"TOALHA HANDY PICKS CINZA",60,simple,publish,80,80,,1,Array,,
6085,"MANGUITO PRETO",63,simple,publish,50,50,,1,Array,,
6086,"shorts masculino preto greg norman TAM 32",0000344,simple,publish,0,0,,1,Array,,
6087,"CAPA DE CHUVA",62,simple,publish,39.9,39.9,,1,Array,,
6088,"boné FJ preto",0000343,simple,publish,390,390,,1,Array,,
6082,"MANGUITO CINZA",65,simple,publish,50,50,,1,Array,,
6083,"MANGUITO BRANCO",64,simple,publish,50,50,,1,Array,,
6084,"shorts cinza greg norman masculino tam 36",0000345,simple,publish,0,0,,1,,,
6079,"oculos de sol marcolin oncinha",0000348,simple,publish,820,820,,1,Array,,
6080,"oculos marcolin armação metal marrom",0000347,simple,publish,820,820,,1,Array,,
6081,"tenis fj prosl cinza com solado detalhes azul tamanho 9",0000346,simple,publish,0,0,,1,Array,,
6075,"PROTETOR DE ORELHA CINZA",69,simple,publish,60,60,,1,Array,,
6076,"PROTETOR DE ORELHA PRETO",68,simple,publish,60,60,,1,Array,,
6077,"MARCADOR E REPARADOR DE GREEN MASTERS",66,simple,publish,50,50,,1,Array,,
6078,"oculos marcolin cinza armação plastico",0000349,simple,publish,820,820,,1,Array,,
6074,"JAQUETA CORTA VENTO ALANA",70,simple,publish,160,160,,1,,,
5442,"TÊNIS NIKE PRETO N 6",165,simple,publish,890,890,,1,Array,,http://localhost/htdocs/pontodogolfe/wp-content/uploads/2025/10/IMG-20251008-WA0409.jpg
5443,"CAMISETA TRAVIS MATHEW CINZA TM M",164,simple,publish,380,380,,1,Array,,http://localhost/htdocs/pontodogolfe/wp-content/uploads/2025/10/1.png
5242,"CAMISETA FJ ROSA TM M",296,simple,publish,520,520,,1,Array,,http://localhost/htdocs/pontodogolfe/wp-content/uploads/2025/10/Imagem-do-WhatsApp-de-2025-11-18-as-09.04.48_afa48d42.jpg
